X,Y,portid,portname,country,ISO3,continent,fullname,lat,lon,vessel_count_total,vessel_count_container,vessel_count_dry_bulk,vessel_count_general_cargo,vessel_count_RoRo,vessel_count_tanker,industry_top1,industry_top2,industry_top3,share_country_maritime_import,share_country_maritime_export,LOCODE,pageid,countrynoaccents,ObjectId
-410726.1659,7562646.313,port415,Grangemouth,United Kingdom,GBR,Europe,"Grangemouth, United Kingdom",56.02124608,-3.689615924,819,275,0,66,0,477,Mineral Products,Wood & Wood Products,Prepared Foodstuffs & Beverages,0.59,2.4,GB GRG,2496e5ea8f18407ab6dcdde07dc06ad4,United Kingdom,412
-9334167.514,5407716.221,port130,Bay City,United States,USA,North America,"Bay City, United States",43.62580592,-83.85025342,79,0,68,7,0,4,Mineral Products,Wood & Wood Products,Chemical & Allied Industries,0.02,0.02,US YBZ,ac89592eff614b99901caea867450857,United States,413
1604490.182,5214052.361,port861,Ortona,Italy,ITA,Europe,"Ortona, Italy",42.35331653,14.41338054,156,2,28,87,0,38,Mineral Products,Vegetable Products,Chemical & Allied Industries,0.26,0.11,IT OTN,91bcf50f83f447ceb08e9497d9f623ee,Italy,414
-941005.5149,5364269.148,port617,La Coruna,Spain,ESP,Europe,"La Coruna, Spain",43.34262513,-8.453196365,869,26,100,368,0,374,Mineral Products,Chemical & Allied Industries,Vegetable Products,3.83,2.12,,1c38cf6b74234d07916cae0082aa984d,Spain,415
11195688.88,1537931.197,port111,Bangkok,Thailand,THA,Asia & Pacific,"Bangkok, Thailand",13.68350932,100.5725844,6467,2067,146,835,4,3413,Mineral Products,Machinery & Electrical Equipment,Vegetable Products,13.68,9.99,TH BKK,a5cc981f23bb4590bfe94d84500922a5,Thailand,416
11259092.78,1423848.343,port701,Map Ta Phut,Thailand,THA,Asia & Pacific,"Map Ta Phut, Thailand",12.68571375,101.1421513,4191,0,196,141,1,3852,Mineral Products,Chemical & Allied Industries,Metals,37.63,13,TH MAT,09e7dc6ad7ea4bc294ff4b3ccdc7a815,Thailand,417
38843.97485,6701377.095,port416,Gravesend,United Kingdom,GBR,Europe,"Gravesend, United Kingdom",51.4505275,0.348941363,3126,784,78,1521,78,664,Mineral Products,Chemical & Allied Industries,Prepared Foodstuffs & Beverages,5.6,1.1,GB GVS,e0a32234eb7f4f57a20d7c68a24dc275,United Kingdom,418
-10467403.19,3506869.61,port134,Beaumont,United States,USA,North America,"Beaumont, United States",30.02582322,-94.03028275,1164,6,59,45,25,1028,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",0.78,3.86,US BPT,bad0bd9e6b1c42bc855ef3d93910316a,United States,419
1365874.476,5655082.587,port1003,Chioggia,Italy,ITA,Europe,"Chioggia, Italy",45.21278514,12.26985918,243,6,51,184,0,0,Mineral Products,Chemical & Allied Industries,Stone & Glass,0.27,0.21,,2cdbb20905ba4312bb9140b09528a18e,Italy,420
-1715584.895,3267652.344,port635,Las Palmas (de Gran Canaria),Spain,ESP,Europe,"Las Palmas (de Gran Canaria), Spain",28.14804985,-15.41136132,4616,1268,1445,844,20,1038,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,7.59,9.67,,72d2d287ee6740498defd06b6f6203b7,Spain,421
192829.659,6907186.339,port417,Great Yarmouth,United Kingdom,GBR,Europe,"Great Yarmouth, United Kingdom",52.58819977,1.732218299,180,8,32,103,1,35,Mineral Products,Prepared Foodstuffs & Beverages,Machinery & Electrical Equipment,0.41,0.26,GB GTY,59ee64f98a0f4cf4b69ff96dc2e37fad,United Kingdom,422
10954366.77,873647.4121,port904,Phuket,Thailand,THA,Asia & Pacific,"Phuket, Thailand",7.823681372,98.40475093,68,2,27,11,0,27,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,0.06,1.13,,c4c31b90042a4691840d3fcb4fbab552,Thailand,423
-13636666.01,6233626.244,port143,Bellingham,United States,USA,North America,"Bellingham, United States",48.75638842,-122.500255,5,0,0,4,0,0,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",0,0,US BLI,4c5c61e1288c4a1aa9d513ecdfab4ad4,United States,424
1363970.634,5536819.841,port1004,Ravenna,Italy,ITA,Europe,"Ravenna, Italy",44.45944499,12.25275668,2145,379,493,729,20,523,Mineral Products,Metals,Vegetable Products,7.81,2.61,,329a9500f19848328bd07795b1dc4932,Italy,425
15335378.18,-4166811.38,port953,Port Giles,Australia,AUS,Asia & Pacific,"Port Giles, Australia",-35.0215595,137.7600461,21,0,20,0,0,0,Vegetable Products,Mineral Products,Prepared Foodstuffs & Beverages,0.01,0.05,AU PGI,b3f99d95957a4eb693b25f470257fd4a,Australia,426
17217978.51,-605618.2179,port186,Buka,Papua New Guinea,PNG,Asia & Pacific,"Buka, Papua New Guinea",-5.432204414,154.6717326,22,11,0,11,0,0,Mineral Products,Vegetable Products,Wood & Wood Products,0.25,0.03,PG BUA,67bbe74f216a491581bda7aaad8358cf,Papua New Guinea,427
15942008.08,-1013459.88,port279,Daru,Papua New Guinea,PNG,Asia & Pacific,"Daru, Papua New Guinea",-9.065995282,143.2094952,30,0,12,18,0,0,Mineral Products,Prepared Foodstuffs & Beverages,Wood & Wood Products,0.07,2.28,PG DAU,742417624c6341ccbae7fa297d0414f6,Papua New Guinea,428
16785728.8,-288134.4055,port553,Kavieng Harbor,Papua New Guinea,PNG,Asia & Pacific,"Kavieng Harbor, Papua New Guinea",-2.587475462,150.7887674,91,20,36,16,0,17,Prepared Foodstuffs & Beverages,Wood & Wood Products,Mineral Products,0.87,6.86,,8b72c049e6244de5a40c9dc0948eceaf,Papua New Guinea,429
17325587.32,-693633.3453,port565,Kieta,Papua New Guinea,PNG,Asia & Pacific,"Kieta, Papua New Guinea",-6.218768247,155.638399,22,20,0,2,0,0,Mineral Products,Wood & Wood Products,Vegetable Products,0.1,0.05,PG KIE,bd9c219fd10f40cc916c815d7cb78c88,Papua New Guinea,430
16714315.27,-618822.1697,port569,Kimbe,Papua New Guinea,PNG,Asia & Pacific,"Kimbe, Papua New Guinea",-5.550273176,150.1472487,210,60,56,50,0,43,Mineral Products,Prepared Foodstuffs & Beverages,Wood & Wood Products,2.89,13.05,PG KIM,15dc37d38bac44b89abe50a9062f1811,Papua New Guinea,431
16362561.47,-751651.5795,port624,Lae,Papua New Guinea,PNG,Asia & Pacific,"Lae, Papua New Guinea",-6.736625768,146.9873906,616,289,41,201,11,73,Mineral Products,Wood & Wood Products,Prepared Foodstuffs & Beverages,36.82,4.85,PG LAE,9151ee008cbf4132a8f994e1c8802380,Papua New Guinea,432
16230568.7,-580637.6823,port676,Madang,Papua New Guinea,PNG,Asia & Pacific,"Madang, Papua New Guinea",-5.208767409,145.8016793,127,36,12,54,0,25,Mineral Products,Prepared Foodstuffs & Beverages,Wood & Wood Products,2.58,2.66,PG MAG,4b4169d9f4ce488d9ad772c0ffb5ef82,Papua New Guinea,433
16530274.6,-994514.082,port860,Oro Bay,Papua New Guinea,PNG,Asia & Pacific,"Oro Bay, Papua New Guinea",-8.897889322,148.4939832,67,24,12,13,0,17,Mineral Products,Wood & Wood Products,Prepared Foodstuffs & Beverages,1.02,2.3,,86f71f2942a84178b20f7c69bcbbe767,Papua New Guinea,434
16373375.4,-1051143.341,port970,Port Moresby,Papua New Guinea,PNG,Asia & Pacific,"Port Moresby, Papua New Guinea",-9.400125206,147.0845337,828,224,167,197,11,229,Mineral Products,Prepared Foodstuffs & Beverages,Vegetable Products,36.33,49.58,PG POM,f5b482ce1c984d52b3d5f76e4239e414,Papua New Guinea,435
16993030.89,-347648.9237,port1066,Put Put,Papua New Guinea,PNG,Asia & Pacific,"Put Put, Papua New Guinea",-3.121438197,152.6509937,107,39,13,34,0,20,Mineral Products,Wood & Wood Products,Chemical & Allied Industries,9.81,0.18,,d092782161de4a43bae40b652e9a2226,Papua New Guinea,436
16938971.22,-468339.6868,port1080,Rabaul,Papua New Guinea,PNG,Asia & Pacific,"Rabaul, Papua New Guinea",-4.203391372,152.1653674,224,88,20,70,0,45,Mineral Products,Prepared Foodstuffs & Beverages,Vegetable Products,5.29,5.24,PG RAB,a81791dad5354bad95a3683cf60b7c0d,Papua New Guinea,437
15729113.73,-298457.4903,port1352,Vanimo,Papua New Guinea,PNG,Asia & Pacific,"Vanimo, Papua New Guinea",-2.68011134,141.2970327,56,0,29,21,0,5,Wood & Wood Products,Mineral Products,Prepared Foodstuffs & Beverages,0.74,5.17,PG VAI,bbfb216130c941b2b235404b4b11bd32,Papua New Guinea,438
15990459.14,-397752.2492,port1392,Wewak Harbor,Papua New Guinea,PNG,Asia & Pacific,"Wewak Harbor, Papua New Guinea",-3.570755554,143.6447385,106,11,23,49,0,22,Mineral Products,Wood & Wood Products,Vegetable Products,1.9,3.35,,7809a1f5288a4834882728723545eff6,Papua New Guinea,439
15228850.35,-535722.5426,port41,Amamapare,Indonesia,IDN,Asia & Pacific,"Amamapare, Indonesia",-4.806828832,136.8030903,551,145,134,160,0,112,Mineral Products,Prepared Foodstuffs & Beverages,Metals,0.91,0.61,,f04a74bd285844109576a4b5c5106e54,Indonesia,440
14268433.8,-409662.725,port42,Port Ambon,Indonesia,IDN,Asia & Pacific,"Port Ambon, Indonesia",-3.677535195,128.1755216,775,172,1,47,0,553,Mineral Products,Prepared Foodstuffs & Beverages,Chemical & Allied Industries,0.69,0.07,ID AMQ,59aaa7db174b49c88454ce8e26d4e8b1,Indonesia,441
12921210.06,-968247.5234,port44,Ampenan,Indonesia,IDN,Asia & Pacific,"Ampenan, Indonesia",-8.664698797,116.0732049,465,26,76,115,11,235,Mineral Products,Chemical & Allied Industries,Prepared Foodstuffs & Beverages,0.11,0.01,,f958a9c6517949a386f6ed30ebabb7e6,Indonesia,442
13899643.44,-1005533.237,port77,Atapupu,Indonesia,IDN,Asia & Pacific,"Atapupu, Indonesia",-8.995671716,124.8626215,78,3,0,10,0,64,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,0.01,0,,61f2b2dd66d14426ad59ab2f7d272a9a,Indonesia,443
13001669.02,-133875.3558,port102,Balikpapan,Indonesia,IDN,Asia & Pacific,"Balikpapan, Indonesia",-1.202534486,116.79598,2207,244,383,243,111,1224,Mineral Products,Chemical & Allied Industries,Metals,1.24,12.98,,b7a873dac9604debaf14a397f782afcf,Indonesia,444
12753086.7,-366221.9338,port112,Banjarmasin,Indonesia,IDN,Asia & Pacific,"Banjarmasin, Indonesia",-3.288021408,114.562927,1512,294,80,557,149,431,Mineral Products,Wood & Wood Products,Vegetable Products,0.31,0.04,ID BDJ,847ab5aa20594a78a5e1ed57f5fba5b8,Indonesia,445
11796255.67,-671036.309,port114,Banten,Indonesia,IDN,Asia & Pacific,"Banten, Indonesia",-6.016931808,105.9675676,1460,3,543,254,0,659,Mineral Products,Prepared Foodstuffs & Beverages,Vegetable Products,17.44,2.17,ID BTN,dfc74c7b2b22422c896564d652a394bf,Indonesia,446
13646030.72,-611643.7818,port128,Baubau,Indonesia,IDN,Asia & Pacific,"Baubau, Indonesia",-5.486087462,122.5843796,182,35,0,9,0,137,Mineral Products,Prepared Foodstuffs & Beverages,Chemical & Allied Industries,0.13,0.02,,bc098a4763aa4172bdfd6c3ed156674c,Indonesia,447
15590984.78,4830648.296,port14,Akita,Japan,JPN,Asia & Pacific,"Akita, Japan",39.75669293,140.0561992,947,141,173,218,0,414,Mineral Products,Wood & Wood Products,Chemical & Allied Industries,0.2,0.24,,e583384fe8764843a57882217c707e3b,Japan,448
14957066.43,4129608.033,port15,Ako,Japan,JPN,Asia & Pacific,"Ako, Japan",34.74741074,134.3616138,1268,0,1006,207,0,55,Wood & Wood Products,Mineral Products,Vegetable Products,0.15,0.32,,dea1e3b191f44f72b8b783385cadfe36,Japan,449
15069074.04,4123475.265,port40,Amagasaki,Japan,JPN,Asia & Pacific,"Amagasaki, Japan",34.70213108,135.3677953,644,0,183,285,56,118,Mineral Products,Prepared Foodstuffs & Beverages,Metals,0.01,0.04,JP AMA,694f8533a6b9437786140dc08ba3d47a,Japan,450
15669365.68,4989102.755,port59,Aomori,Japan,JPN,Asia & Pacific,"Aomori, Japan",40.84225958,140.7603068,407,0,95,86,0,225,Mineral Products,Metals,Chemical & Allied Industries,0.08,0.05,,da1b90b60b1248caa387357a4076c625,Japan,451
15590555.08,4235476.551,port239,Chiba,Japan,JPN,Asia & Pacific,"Chiba, Japan",35.52513992,140.0523392,11830,163,992,1788,542,8343,Mineral Products,Chemical & Allied Industries,Metals,4.69,4.14,,a432aba86637409ca14f22f7eeec3101,Japan,452
15152267.96,4326135.913,port363,Fukui,Japan,JPN,Asia & Pacific,"Fukui, Japan",36.18520937,136.115139,236,0,59,67,4,104,Mineral Products,Metals,Chemical & Allied Industries,0.05,0.03,,8fba0d7c1e9849f2bd37cb5acae2b73f,Japan,453
14854311.07,4091125.944,port364,Fukuyama Kagoshima,Japan,JPN,Asia & Pacific,"Fukuyama Kagoshima, Japan",34.46287853,133.4385467,4239,232,995,2664,4,344,Mineral Products,Metals,Chemical & Allied Industries,4.33,3.96,,b8ed6cc1034a4a25a9983c50309fb01b,Japan,454
15581178.48,4255973.258,port365,Funabashi,Japan,JPN,Asia & Pacific,"Funabashi, Japan",35.67485206,139.9681077,3483,59,382,2033,207,800,Mineral Products,Metals,Chemical & Allied Industries,0.25,0.58,JP FNB,99a12a2c32434006b68e461af9fb6a2f,Japan,455
15266619.15,4406907.621,port369,Fushikitoyama,Japan,JPN,Asia & Pacific,"Fushikitoyama, Japan",36.76864401,137.1423732,1209,211,133,472,109,283,Mineral Products,Metals,Vegetable Products,0.54,0.29,,d00bf534bbc04f7ea0d37d2276ce5f98,Japan,456
